City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
278,Yakeshi,CN,63.72,scattered clouds,49.2833,120.7333,Longhua Hotel
280,Hazorasp,UZ,66.04,clear sky,41.3194,61.0742,Kemping wifi hotel
281,Komsomolskiy,UZ,72.32,few clouds,40.4272,71.7189,Ikathouse
282,Faanui,PF,78.6,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
283,Moussoro,TD,84.43,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
285,Pabrade,LT,59.25,clear sky,55.0,25.7833,Pavovere 2
286,La Ronge,CA,86.22,few clouds,55.1001,-105.2842,Northland Motor Hotel
288,Santiago,CL,57.54,clear sky,-33.4569,-70.6483,Hotel Panamericano
289,Pundaguitan,PH,82.45,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
290,Aloleng,PH,81.97,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
291,Touros,BR,75.16,few clouds,-5.1989,-35.4608,INN NEW HORIZON
293,Arraial Do Cabo,BR,68.29,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
294,Fereydunshahr,IR,64.53,clear sky,32.941,50.121,موسسه آسمان پرواز پرتیکان
295,Lorengau,PG,81.66,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
296,Mar Del Plata,AR,53.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
297,Constitucion,CL,47.91,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
298,Kargopol,RU,61.56,overcast clouds,61.5071,38.9456,Moroshka Inn
299,Santiago Del Estero,AR,62.87,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
300,Moron,AR,59.97,clear sky,-34.6534,-58.6198,Hotel Morón
301,Kozan,TR,76.17,scattered clouds,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
302,Acari,PE,65.03,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
303,Pangnirtung,CA,51.01,few clouds,66.1451,-65.7125,Kilabuk Lodge
304,Breytovo,RU,58.46,overcast clouds,58.2993,37.8617,"The recreation center ""Sitinsky Beach"""
305,Nuuk,GL,48.81,clear sky,64.1835,-51.7216,Vandrehuset
306,Almeria,ES,73.78,scattered clouds,37.1667,-2.3333,Casa Rural El Laurel
307,Sabang,ID,81.73,overcast clouds,5.8933,95.3214,Hotel Citra
309,Mahoba,IN,78.71,moderate rain,25.2833,79.8667,"Hotel, Restaurant and Guest House"
310,Sierra Vista,US,86.05,broken clouds,31.5545,-110.3037,Gateway Studio Suites
311,Brno,CZ,63.5,clear sky,49.1952,16.608,Hotel Barceló Brno Palace
312,Torbay,CA,58.75,overcast clouds,47.6666,-52.7314,Gallows Cove
313,Gazanjyk,TM,79.93,clear sky,39.2446,55.5154,Railway motel
314,Weligama,LK,77.05,overcast clouds,5.9667,80.4167,Weligama Bay Resort
316,Kaeo,NZ,58.32,clear sky,-35.1,173.7833,Bushido Lodge
317,Jinchang,CN,79.05,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
318,Soyo,AO,68.45,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
319,Butembo,CD,56.62,broken clouds,0.15,29.2833,Hotel Butembo
320,Sheopur,IN,78.51,moderate rain,25.6667,76.7,Shri Ram Dharmshala
322,Poronaysk,RU,68.81,light rain,49.2167,143.1167,Avtovokzal Khostel Stolovaya
323,Floro,NO,60.22,overcast clouds,61.5996,5.0328,Kinn Hotell Florø
324,Lompoc,US,83.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
326,Marystown,CA,57.9,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
329,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
330,Cidreira,BR,59.61,clear sky,-30.1811,-50.2056,Hotel Castelo
332,Sinnamary,GF,79.32,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
333,Tateyama,JP,85.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
334,Isangel,VU,73.51,broken clouds,-19.55,169.2667,Tanna Lodge
335,Pontianak,ID,78.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
336,Camopi,GF,72.79,broken clouds,3.1655,-52.3158,La pousada
337,Miranda De Ebro,ES,72.16,scattered clouds,42.6865,-2.947,Hospedería El Convento
339,Black River,JM,81.12,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
340,Nyurba,RU,63.27,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
341,Kyren,RU,59.25,few clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
342,Cape Canaveral,US,84.97,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
343,Huarmey,PE,63.12,scattered clouds,-10.0681,-78.1522,Hotel Miramar
344,Jintur,IN,73.31,overcast clouds,19.6167,76.7,AMOL SALVE SWEET ORANGE FARM
345,Kieta,PG,84.09,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
346,Campbell River,CA,78.6,few clouds,50.0163,-125.2446,Anchor Inn & Suites
347,Kokoda,PG,83.37,broken clouds,-8.8785,147.7407,Daito Guest House
348,Leshukonskoye,RU,59.56,light rain,64.8989,45.7622,Pryalitsa Hostel
349,Colares,PT,69.76,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
350,Narsaq,GL,50.22,few clouds,60.9167,-46.05,Sleep In Narsaq
351,Kurilsk,RU,65.84,overcast clouds,45.2333,147.8833,Hotel Ostrov
352,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
353,Mahanoro,MG,65.26,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
354,Nikolskoye,RU,66.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
355,Veraval,IN,81.01,overcast clouds,20.9,70.3667,Lords Inn Somnath
356,Erwitte,DE,70.63,clear sky,51.6167,8.35,salinenparc Design Budget Hotel
357,Road Town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
358,Honiara,SB,80.82,overcast clouds,-9.4333,159.95,Heritage Park Hotel
359,Itarema,BR,77.25,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
360,Moranbah,AU,67.93,scattered clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
362,Ballina,AU,62.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
363,Asyut,EG,82.58,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
365,Peniche,PT,66.92,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
366,Phan Thiet,VN,77.59,broken clouds,10.9333,108.1,Hotel Saigon-PT
367,Mikhaylovka,RU,74.79,few clouds,50.06,43.2379,5 Komnat
