,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Mlonggo,ID,2022-08-11 23:35:51,-6.5333,110.7,80.4,76,54,4.94,broken clouds
173,Manono,CD,2022-08-11 23:35:52,-7.3,27.4167,71.6,34,89,1.28,overcast clouds
174,Iqaluit,CA,2022-08-11 23:35:52,63.7506,-68.5145,47.93,71,20,8.05,few clouds
175,Kinsale,IE,2022-08-11 23:35:52,51.7075,-8.5306,67.37,68,20,4.61,few clouds
176,Leningradskiy,RU,2022-08-11 23:35:53,69.3833,178.4167,51.37,71,99,2.46,overcast clouds
177,Yatou,CN,2022-08-11 23:35:54,37.15,122.3833,77.68,85,22,4.85,few clouds
178,Bushehr,IR,2022-08-11 23:35:54,28.9684,50.8385,96.89,63,12,11.5,few clouds
179,Tuatapere,NZ,2022-08-11 23:35:54,-46.1333,167.6833,46.94,59,19,1.97,few clouds
180,Tevaitoa,PF,2022-08-11 23:35:55,-16.7833,-151.5,78.64,74,9,14.03,clear sky
181,Pisco,PE,2022-08-11 23:35:55,-13.7,-76.2167,60.85,82,20,11.5,few clouds
182,Comodoro Rivadavia,AR,2022-08-11 23:35:55,-45.8667,-67.5,48.06,57,0,8.05,clear sky
183,Beira,MZ,2022-08-11 23:35:56,-19.8436,34.8389,62.69,100,20,4.61,few clouds
184,Pervomayskiy,RU,2022-08-11 23:35:56,53.2485,40.2871,62.44,73,8,8.86,clear sky
185,Taganak,PH,2022-08-11 23:35:57,6.0833,118.3,77.14,81,55,6.67,broken clouds
186,Roald,NO,2022-08-11 23:35:57,62.5833,6.1333,61.16,100,100,3.44,drizzle
187,Sayyan,YE,2022-08-11 23:35:58,15.1718,44.3244,61.97,69,100,9.57,overcast clouds
188,Broken Hill,AU,2022-08-11 23:35:58,-31.95,141.4333,54.97,49,12,18.43,few clouds
189,Bambous Virieux,MU,2022-08-11 23:31:26,-20.3428,57.7575,68.22,88,75,18.41,light rain
190,Liuzhou,CN,2022-08-11 23:35:58,24.3126,109.3892,79.21,86,4,1.1,clear sky
191,Polunochnoye,RU,2022-08-11 23:35:59,60.8697,60.4153,55.65,70,91,7.0,overcast clouds
192,Terra Santa,BR,2022-08-11 23:35:59,-2.1042,-56.4869,81.75,46,67,1.48,broken clouds
193,Maputo,MZ,2022-08-11 23:31:55,-25.9653,32.5892,67.68,77,0,8.05,clear sky
